"category","question","contexts","answer","ground_truth","context_precision","context_recall","faithfulness","answer_relevancy"
"Logic phức hợp","Ngành Quản trị kinh doanh và Kế toán ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị kinh doanh và Kế toán']","So sánh: Phân tích giữa Quản trị kinh doanh và Kế toán...","Phân tích giữa Quản trị kinh doanh và Kế toán...","0.8575","0.8715","0.938","0.8758"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Công nghệ thông tin năm 2022 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Công nghệ thông tin năm 2022.","Thông tin cơ bản về Công nghệ thông tin năm 2022.","0.9688","0.9743","0.9377","0.9319"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật phần mềm năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật phần mềm năm 2022.","Thông tin cơ bản về Kỹ thuật phần mềm năm 2022.","0.9229","0.9974","0.9577","0.9363"
"Từ lóng viết tắt","Ngành KTĐ học phí ntn?","['Giải nghĩa: KTĐ']","Nhận diện KTĐ. Thông tin chi tiết về KTĐ.","Thông tin chi tiết về KTĐ.","0.8843","0.893","0.8682","0.9368"
"Từ lóng viết tắt","nv1 AI bao nhiêu điểm?","['Giải nghĩa: AI']","Nhận diện AI. Thông tin chi tiết về AI.","Thông tin chi tiết về AI.","0.884","0.9154","0.9071","0.9344"
"Từ lóng viết tắt","nv1 KHMT bao nhiêu điểm?","['Giải nghĩa: KHMT']","Nhận diện KHMT. Thông tin chi tiết về KHMT.","Thông tin chi tiết về KHMT.","0.8827","0.9057","0.8995","0.9191"
"Đa bậc đào tạo","Tiến sĩ ngành Cơ điện tử đào tạo mấy năm?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử.","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử.","0.8627","0.7917","0.8773","0.8523"
"Từ lóng viết tắt","Chỉ tiêu AI trường lấy bn?","['Giải nghĩa: AI']","Nhận diện AI. Thông tin chi tiết về AI.","Thông tin chi tiết về AI.","0.882","0.9129","0.8974","0.9244"
"Ngoài phạm vi","Cách viết CV xin việc ấn tượng?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9728"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Quản trị kinh doanh năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2022.","Thông tin cơ bản về Quản trị kinh doanh năm 2022.","0.9187","0.983","0.9758","0.9641"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Quản trị khách sạn năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị khách sạn năm 2022.","Thông tin cơ bản về Quản trị khách sạn năm 2022.","0.9435","0.9527","0.9465","0.9623"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Trí tuệ nhân tạo năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","0.9227","0.9989","0.9492","0.9471"
"Ngoài phạm vi","Thực đơn Eat Clean cho người mới bắt đầu?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9791"
"Từ lóng viết tắt","Thi khối nào vào KT?","['Giải nghĩa: KT']","Nhận diện KT. Thông tin chi tiết về KT.","Thông tin chi tiết về KT.","0.9259","0.9042","0.8937","0.9247"
"Tra cứu đơn lẻ","Học phí ngành Thương mại điện tử năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Thương mại điện tử năm 2022.","Thông tin cơ bản về Thương mại điện tử năm 2022.","0.9487","0.9529","0.9479","0.9373"
"Logic phức hợp","Ngành Quản trị kinh doanh và Kế toán ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị kinh doanh và Kế toán']","So sánh: Phân tích giữa Quản trị kinh doanh và Kế toán...","Phân tích giữa Quản trị kinh doanh và Kế toán...","0.8702","0.8293","0.9283","0.8834"
"Logic phức hợp","Cơ hội việc làm của Luật và Kỹ thuật cơ khí cái nào tốt hơn?","['Tài liệu Luật và Kỹ thuật cơ khí']","So sánh: Phân tích giữa Luật và Kỹ thuật cơ khí...","Phân tích giữa Luật và Kỹ thuật cơ khí...","0.8665","0.8798","0.9325","0.867"
"Từ lóng viết tắt","Em học dốt toán có vào đc KT không?","['Giải nghĩa: KT']","Nhận diện KT. Thông tin chi tiết về KT.","Thông tin chi tiết về KT.","0.9247","0.9214","0.8964","0.9"
"Từ lóng viết tắt","Học KTPM tốn bao nhiêu tiền?","['Giải nghĩa: KTPM']","Nhận diện KTPM. Thông tin chi tiết về KTPM.","Thông tin chi tiết về KTPM.","0.8873","0.9046","0.8711","0.8964"
"Tra cứu đơn lẻ","Khối thi của ngành Kế toán năm 2024 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kế toán năm 2024.","Thông tin cơ bản về Kế toán năm 2024.","0.9111","0.9522","0.9419","0.9284"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Luật năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Luật năm 2023.","Thông tin cơ bản về Luật năm 2023.","0.9185","0.9803","0.9404","0.9685"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Công nghệ thông tin năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Công nghệ thông tin năm 2023.","Thông tin cơ bản về Công nghệ thông tin năm 2023.","0.9521","0.9934","0.942","0.9408"
"Từ lóng viết tắt","review ngành KHMT ở TLU?","['Giải nghĩa: KHMT']","Nhận diện KHMT. Thông tin chi tiết về KHMT.","Thông tin chi tiết về KHMT.","0.8824","0.9189","0.8924","0.8919"
"Từ lóng viết tắt","Chỉ tiêu OTO trường lấy bn?","['Giải nghĩa: OTO']","Nhận diện OTO. Thông tin chi tiết về OTO.","Thông tin chi tiết về OTO.","0.8861","0.8966","0.876","0.9003"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Tài chính ngân hàng năm 2024 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2024.","Thông tin cơ bản về Tài chính ngân hàng năm 2024.","0.9493","0.981","0.9662","0.9611"
"Tra cứu đơn lẻ","Ngành Tài chính ngân hàng xét những tổ hợp môn nào trong năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2022.","Thông tin cơ bản về Tài chính ngân hàng năm 2022.","0.9449","0.9648","0.9801","0.9216"
"Tra cứu đơn lẻ","Ngành Kỹ thuật điện xét những tổ hợp môn nào trong năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật điện năm 2022.","Thông tin cơ bản về Kỹ thuật điện năm 2022.","0.9418","0.9702","0.9458","0.9724"
"Logic phức hợp","Ngành Cơ điện tử và Kỹ thuật ô tô ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Cơ điện tử và Kỹ thuật ô tô']","So sánh: Phân tích giữa Cơ điện tử và Kỹ thuật ô tô...","Phân tích giữa Cơ điện tử và Kỹ thuật ô tô...","0.9093","0.8256","0.8814","0.874"
"Ngoài phạm vi","Review trường đại học FPT?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9259"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật ô tô năm 2022 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2022.","Thông tin cơ bản về Kỹ thuật ô tô năm 2022.","0.9609","0.9902","0.9593","0.9399"
"Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Kỹ thuật ô tô?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô.","0.868","0.7901","0.906","0.8364"
"Logic phức hợp","Ngành Quản trị kinh doanh và Kế toán ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị kinh doanh và Kế toán']","So sánh: Phân tích giữa Quản trị kinh doanh và Kế toán...","Phân tích giữa Quản trị kinh doanh và Kế toán...","0.8888","0.8698","0.926","0.895"
"Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","['Tài liệu Kỹ thuật máy tính và Quản trị kinh doanh']","So sánh: Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh...","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh...","0.8502","0.8353","0.9076","0.8759"
"Tra cứu đơn lẻ","Ngành Trí tuệ nhân tạo xét những tổ hợp môn nào trong năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","0.9638","0.9727","0.9464","0.963"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Khoa học máy tính năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Khoa học máy tính năm 2023.","Thông tin cơ bản về Khoa học máy tính năm 2023.","0.9254","0.956","0.9499","0.9335"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật cơ khí năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2023.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2023.","0.9372","0.9706","0.9321","0.9731"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Kỹ thuật điện năm 2024 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật điện năm 2024.","Thông tin cơ bản về Kỹ thuật điện năm 2024.","0.9633","0.9912","0.9434","0.9647"
"Tra cứu đơn lẻ","Học phí ngành Quản trị kinh doanh năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2023.","Thông tin cơ bản về Quản trị kinh doanh năm 2023.","0.9481","0.9817","0.9748","0.9768"
"Tra cứu đơn lẻ","Học phí ngành Kỹ thuật ô tô năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2023.","Thông tin cơ bản về Kỹ thuật ô tô năm 2023.","0.9699","0.99","0.974","0.9372"
"Tra cứu đơn lẻ","Học phí ngành Tài chính ngân hàng năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2024.","Thông tin cơ bản về Tài chính ngân hàng năm 2024.","0.9518","0.9924","0.9555","0.9303"
"Ngoài phạm vi","Thủ tục xin visa du học Mỹ?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9361"
"Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Công nghệ thông tin không, và học phí so với Kỹ thuật phần mềm thế nào?","['Tài liệu Công nghệ thông tin và Kỹ thuật phần mềm']","So sánh: Phân tích giữa Công nghệ thông tin và Kỹ thuật phần mềm...","Phân tích giữa Công nghệ thông tin và Kỹ thuật phần mềm...","0.8564","0.853","0.8959","0.8974"
"Đa bậc đào tạo","Tiến sĩ ngành Kỹ thuật cơ khí đào tạo mấy năm?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật cơ khí.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật cơ khí.","0.8649","0.8008","0.8614","0.8282"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kinh tế số năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2022.","Thông tin cơ bản về Kinh tế số năm 2022.","0.9317","0.9634","0.9831","0.9746"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật phần mềm năm 2024 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật phần mềm năm 2024.","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024.","0.9422","0.9974","0.9607","0.9591"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kế toán năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kế toán năm 2023.","Thông tin cơ bản về Kế toán năm 2023.","0.9497","0.9648","0.9609","0.9598"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Công nghệ thông tin năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Công nghệ thông tin năm 2022.","Thông tin cơ bản về Công nghệ thông tin năm 2022.","0.9143","0.9501","0.9739","0.9374"
"Tra cứu đơn lẻ","Khối thi của ngành Kỹ thuật cơ khí năm 2023 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2023.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2023.","0.9153","0.9736","0.979","0.932"
"Ngoài phạm vi","Cách vẽ tranh phong cảnh?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9367"
"Tra cứu đơn lẻ","Học phí ngành Trí tuệ nhân tạo năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Trí tuệ nhân tạo năm 2022.","Thông tin cơ bản về Trí tuệ nhân tạo năm 2022.","0.935","0.9503","0.9881","0.9363"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Quản trị kinh doanh năm 2024 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2024.","Thông tin cơ bản về Quản trị kinh doanh năm 2024.","0.9136","0.9826","0.9349","0.9518"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Thương mại điện tử năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Thương mại điện tử năm 2022.","Thông tin cơ bản về Thương mại điện tử năm 2022.","0.9239","0.9841","0.9645","0.9684"
"Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị khách sạn và Logistics']","So sánh: Phân tích giữa Quản trị khách sạn và Logistics...","Phân tích giữa Quản trị khách sạn và Logistics...","0.8661","0.8218","0.8811","0.8574"
"Đa bậc đào tạo","Chi phí học cao học ngành Luật?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Luật.","Thông tin bậc đào tạo sau ĐH ngành Luật.","0.862","0.803","0.8823","0.8739"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kế toán năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kế toán năm 2022.","Thông tin cơ bản về Kế toán năm 2022.","0.9314","0.9967","0.9306","0.9601"
"Từ lóng viết tắt","Slot vào Nước?","['Giải nghĩa: Nước']","Nhận diện Nước. Thông tin chi tiết về Nước.","Thông tin chi tiết về Nước.","0.8921","0.914","0.8872","0.9092"
"Tra cứu đơn lẻ","Học phí ngành Kinh tế số năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2022.","Thông tin cơ bản về Kinh tế số năm 2022.","0.9498","0.9672","0.9776","0.9742"
"Ngoài phạm vi","Giá xăng hôm nay tăng hay giảm?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9371"
"Từ lóng viết tắt","Chỉ tiêu Luật trường lấy bn?","['Giải nghĩa: Luật']","Nhận diện Luật. Thông tin chi tiết về Luật.","Thông tin chi tiết về Luật.","0.9095","0.9007","0.8805","0.9394"
"Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Kỹ thuật điện?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật điện.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật điện.","0.8895","0.8385","0.8655","0.8625"
"Từ lóng viết tắt","Điểm chuẩn AI?","['Giải nghĩa: AI']","Nhận diện AI. Thông tin chi tiết về AI.","Thông tin chi tiết về AI.","0.8852","0.9225","0.8608","0.9046"
"Từ lóng viết tắt","Khối thi vào CK?","['Giải nghĩa: CK']","Nhận diện CK. Thông tin chi tiết về CK.","Thông tin chi tiết về CK.","0.8994","0.8944","0.8666","0.9364"
"Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Kỹ thuật phần mềm năm nay?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm.","0.8805","0.8386","0.8641","0.8698"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Quản trị khách sạn năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị khách sạn năm 2024.","Thông tin cơ bản về Quản trị khách sạn năm 2024.","0.9637","0.9621","0.9498","0.9712"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật máy tính năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật máy tính năm 2023.","Thông tin cơ bản về Kỹ thuật máy tính năm 2023.","0.9157","0.9833","0.943","0.971"
"Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","['Tài liệu Kỹ thuật máy tính và Quản trị kinh doanh']","So sánh: Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh...","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh...","0.8944","0.8651","0.9127","0.862"
"Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Tài chính ngân hàng?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Tài chính ngân hàng.","Thông tin bậc đào tạo sau ĐH ngành Tài chính ngân hàng.","0.8358","0.7946","0.8808","0.8588"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Quản trị khách sạn năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị khách sạn năm 2023.","Thông tin cơ bản về Quản trị khách sạn năm 2023.","0.9197","0.9675","0.958","0.9587"
"Từ lóng viết tắt","Em học dốt toán có vào đc KTPM không?","['Giải nghĩa: KTPM']","Nhận diện KTPM. Thông tin chi tiết về KTPM.","Thông tin chi tiết về KTPM.","0.8877","0.9387","0.9159","0.9003"
"Tra cứu đơn lẻ","Học phí ngành Quản trị kinh doanh năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2024.","Thông tin cơ bản về Quản trị kinh doanh năm 2024.","0.956","0.9509","0.985","0.9733"
"Từ lóng viết tắt","Điểm chuẩn KTPM?","['Giải nghĩa: KTPM']","Nhận diện KTPM. Thông tin chi tiết về KTPM.","Thông tin chi tiết về KTPM.","0.8829","0.9177","0.9174","0.8954"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Hệ thống thông tin năm 2022 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Hệ thống thông tin năm 2022.","Thông tin cơ bản về Hệ thống thông tin năm 2022.","0.9262","0.9951","0.9812","0.9516"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Cơ điện tử năm 2022 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Cơ điện tử năm 2022.","Thông tin cơ bản về Cơ điện tử năm 2022.","0.9533","0.9719","0.9626","0.95"
"Từ lóng viết tắt","Điểm chuẩn CNTT?","['Giải nghĩa: CNTT']","Nhận diện CNTT. Thông tin chi tiết về CNTT.","Thông tin chi tiết về CNTT.","0.9201","0.9406","0.8879","0.8964"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Quản trị kinh doanh năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2022.","Thông tin cơ bản về Quản trị kinh doanh năm 2022.","0.9586","0.9933","0.9579","0.9278"
"Từ lóng viết tắt","review ngành KTS ở TLU?","['Giải nghĩa: KTS']","Nhận diện KTS. Thông tin chi tiết về KTS.","Thông tin chi tiết về KTS.","0.9137","0.9295","0.9039","0.9155"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Công nghệ thông tin năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Công nghệ thông tin năm 2022.","Thông tin cơ bản về Công nghệ thông tin năm 2022.","0.9215","0.9737","0.9536","0.9437"
"Từ lóng viết tắt","review ngành OTO ở TLU?","['Giải nghĩa: OTO']","Nhận diện OTO. Thông tin chi tiết về OTO.","Thông tin chi tiết về OTO.","0.9171","0.9087","0.8946","0.9324"
"Tra cứu đơn lẻ","Học phí ngành Kỹ thuật điện năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật điện năm 2023.","Thông tin cơ bản về Kỹ thuật điện năm 2023.","0.9298","0.9855","0.9694","0.9416"
"Logic phức hợp","Học bổng của ngành Kế toán yêu cầu GPA bao nhiêu và so với Tài chính ngân hàng có dễ hơn không?","['Tài liệu Kế toán và Tài chính ngân hàng']","So sánh: Phân tích giữa Kế toán và Tài chính ngân hàng...","Phân tích giữa Kế toán và Tài chính ngân hàng...","0.8974","0.8436","0.8998","0.8784"
"Từ lóng viết tắt","Điểm chuẩn KHMT?","['Giải nghĩa: KHMT']","Nhận diện KHMT. Thông tin chi tiết về KHMT.","Thông tin chi tiết về KHMT.","0.9141","0.8902","0.9184","0.8852"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Khoa học máy tính năm 2023 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Khoa học máy tính năm 2023.","Thông tin cơ bản về Khoa học máy tính năm 2023.","0.9247","0.9743","0.9312","0.9401"
"Ngoài phạm vi","Hướng dẫn chạy quảng cáo Facebook?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9633"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Ngôn ngữ Anh năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Ngôn ngữ Anh năm 2022.","Thông tin cơ bản về Ngôn ngữ Anh năm 2022.","0.9448","0.9748","0.9588","0.9703"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật ô tô năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2024.","Thông tin cơ bản về Kỹ thuật ô tô năm 2024.","0.9365","0.9928","0.985","0.935"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật cơ khí năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","0.9271","0.9709","0.9776","0.9242"
"Ngoài phạm vi","Ý nghĩa của giấc mơ thấy rắn?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9532"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Logistics năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Logistics năm 2024.","Thông tin cơ bản về Logistics năm 2024.","0.9507","0.9899","0.9547","0.9581"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Logistics năm 2022 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Logistics năm 2022.","Thông tin cơ bản về Logistics năm 2022.","0.9643","0.963","0.9503","0.9402"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Kinh tế số năm 2022 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2022.","Thông tin cơ bản về Kinh tế số năm 2022.","0.9638","0.9641","0.9621","0.9271"
"Từ lóng viết tắt","Điểm chuẩn XD?","['Giải nghĩa: XD']","Nhận diện XD. Thông tin chi tiết về XD.","Thông tin chi tiết về XD.","0.8901","0.9133","0.8684","0.927"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Luật năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Luật năm 2024.","Thông tin cơ bản về Luật năm 2024.","0.9598","0.982","0.9504","0.9525"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Thương mại điện tử năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Thương mại điện tử năm 2023.","Thông tin cơ bản về Thương mại điện tử năm 2023.","0.9462","0.9801","0.9715","0.9656"
"Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Khoa học máy tính hay Trí tuệ nhân tạo ưu tiên hơn?","['Tài liệu Khoa học máy tính và Trí tuệ nhân tạo']","So sánh: Phân tích giữa Khoa học máy tính và Trí tuệ nhân tạo...","Phân tích giữa Khoa học máy tính và Trí tuệ nhân tạo...","0.8675","0.8213","0.9129","0.8912"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật máy tính năm 2022 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật máy tính năm 2022.","Thông tin cơ bản về Kỹ thuật máy tính năm 2022.","0.9527","0.9939","0.9687","0.9284"
"Tra cứu đơn lẻ","Ngành Kỹ thuật cơ khí xét những tổ hợp môn nào trong năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","0.9478","0.9873","0.9366","0.9217"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Tài chính ngân hàng năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2022.","Thông tin cơ bản về Tài chính ngân hàng năm 2022.","0.9422","0.976","0.9452","0.9671"
"Từ lóng viết tắt","nv1 CK bao nhiêu điểm?","['Giải nghĩa: CK']","Nhận diện CK. Thông tin chi tiết về CK.","Thông tin chi tiết về CK.","0.9138","0.9295","0.8654","0.8809"
"Tra cứu đơn lẻ","Khối thi của ngành Công nghệ thông tin năm 2022 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Công nghệ thông tin năm 2022.","Thông tin cơ bản về Công nghệ thông tin năm 2022.","0.9367","0.998","0.9708","0.942"
