"id","category","question","ground_truth"
"297","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Ngôn ngữ Anh năm 2023?","Thông tin cơ bản về Ngôn ngữ Anh năm 2023."
"298","Đa bậc đào tạo","Thời gian học NCS ngành Hệ thống thông tin?","Thông tin bậc đào tạo sau ĐH ngành Hệ thống thông tin."
"299","Ngoài phạm vi","Dân số Việt Nam năm 2024 là bao nhiêu?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"300","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật máy tính năm 2022 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật máy tính năm 2022."
"301","Logic phức hợp","Ngành Quản trị kinh doanh và Kế toán ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị kinh doanh và Kế toán..."
"302","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Công nghệ thông tin năm 2022 không?","Thông tin cơ bản về Công nghệ thông tin năm 2022."
"303","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật phần mềm năm 2022?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2022."
"304","Từ lóng viết tắt","Ngành KTĐ học phí ntn?","Thông tin chi tiết về KTĐ."
"305","Từ lóng viết tắt","nv1 AI bao nhiêu điểm?","Thông tin chi tiết về AI."
"306","Từ lóng viết tắt","nv1 KHMT bao nhiêu điểm?","Thông tin chi tiết về KHMT."
"307","Đa bậc đào tạo","Tiến sĩ ngành Cơ điện tử đào tạo mấy năm?","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử."
"308","Từ lóng viết tắt","Chỉ tiêu AI trường lấy bn?","Thông tin chi tiết về AI."
"309","Ngoài phạm vi","Cách viết CV xin việc ấn tượng?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"310","Tra cứu đơn lẻ","Điểm chuẩn ngành Quản trị kinh doanh năm 2022 là bao nhiêu?","Thông tin cơ bản về Quản trị kinh doanh năm 2022."
"311","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Quản trị khách sạn năm 2022?","Thông tin cơ bản về Quản trị khách sạn năm 2022."
"312","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Trí tuệ nhân tạo năm 2024?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024."
"313","Ngoài phạm vi","Thực đơn Eat Clean cho người mới bắt đầu?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"314","Từ lóng viết tắt","Thi khối nào vào KT?","Thông tin chi tiết về KT."
"315","Tra cứu đơn lẻ","Học phí ngành Thương mại điện tử năm 2022 là bao nhiêu?","Thông tin cơ bản về Thương mại điện tử năm 2022."
"316","Logic phức hợp","Ngành Quản trị kinh doanh và Kế toán ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị kinh doanh và Kế toán..."
"317","Logic phức hợp","Cơ hội việc làm của Luật và Kỹ thuật cơ khí cái nào tốt hơn?","Phân tích giữa Luật và Kỹ thuật cơ khí..."
"318","Từ lóng viết tắt","Em học dốt toán có vào đc KT không?","Thông tin chi tiết về KT."
"319","Từ lóng viết tắt","Học KTPM tốn bao nhiêu tiền?","Thông tin chi tiết về KTPM."
"320","Tra cứu đơn lẻ","Khối thi của ngành Kế toán năm 2024 là gì?","Thông tin cơ bản về Kế toán năm 2024."
"321","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Luật năm 2023?","Thông tin cơ bản về Luật năm 2023."
"322","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Công nghệ thông tin năm 2023?","Thông tin cơ bản về Công nghệ thông tin năm 2023."
"323","Từ lóng viết tắt","review ngành KHMT ở TLU?","Thông tin chi tiết về KHMT."
"324","Từ lóng viết tắt","Chỉ tiêu OTO trường lấy bn?","Thông tin chi tiết về OTO."
"325","Tra cứu đơn lẻ","Chỉ tiêu ngành Tài chính ngân hàng năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Tài chính ngân hàng năm 2024."
"326","Tra cứu đơn lẻ","Ngành Tài chính ngân hàng xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Tài chính ngân hàng năm 2022."
"327","Tra cứu đơn lẻ","Ngành Kỹ thuật điện xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Kỹ thuật điện năm 2022."
"328","Logic phức hợp","Ngành Cơ điện tử và Kỹ thuật ô tô ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Cơ điện tử và Kỹ thuật ô tô..."
"329","Ngoài phạm vi","Review trường đại học FPT?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"330","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật ô tô năm 2022 không?","Thông tin cơ bản về Kỹ thuật ô tô năm 2022."
"331","Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Kỹ thuật ô tô?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô."
"332","Logic phức hợp","Ngành Quản trị kinh doanh và Kế toán ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị kinh doanh và Kế toán..."
"333","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh..."
"334","Tra cứu đơn lẻ","Ngành Trí tuệ nhân tạo xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024."
"335","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Khoa học máy tính năm 2023?","Thông tin cơ bản về Khoa học máy tính năm 2023."
"336","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật cơ khí năm 2023?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2023."
"337","Tra cứu đơn lẻ","Chỉ tiêu ngành Kỹ thuật điện năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Kỹ thuật điện năm 2024."
"338","Tra cứu đơn lẻ","Học phí ngành Quản trị kinh doanh năm 2023 là bao nhiêu?","Thông tin cơ bản về Quản trị kinh doanh năm 2023."
"339","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật ô tô năm 2023 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật ô tô năm 2023."
"340","Tra cứu đơn lẻ","Học phí ngành Tài chính ngân hàng năm 2024 là bao nhiêu?","Thông tin cơ bản về Tài chính ngân hàng năm 2024."
"341","Ngoài phạm vi","Thủ tục xin visa du học Mỹ?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"342","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Công nghệ thông tin không, và học phí so với Kỹ thuật phần mềm thế nào?","Phân tích giữa Công nghệ thông tin và Kỹ thuật phần mềm..."
"343","Đa bậc đào tạo","Tiến sĩ ngành Kỹ thuật cơ khí đào tạo mấy năm?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật cơ khí."
"344","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kinh tế số năm 2022?","Thông tin cơ bản về Kinh tế số năm 2022."
"345","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật phần mềm năm 2024 không?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024."
"346","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kế toán năm 2023?","Thông tin cơ bản về Kế toán năm 2023."
"347","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Công nghệ thông tin năm 2022?","Thông tin cơ bản về Công nghệ thông tin năm 2022."
"348","Tra cứu đơn lẻ","Khối thi của ngành Kỹ thuật cơ khí năm 2023 là gì?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2023."
"349","Ngoài phạm vi","Cách vẽ tranh phong cảnh?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"350","Tra cứu đơn lẻ","Học phí ngành Trí tuệ nhân tạo năm 2022 là bao nhiêu?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2022."
"351","Tra cứu đơn lẻ","Chỉ tiêu ngành Quản trị kinh doanh năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Quản trị kinh doanh năm 2024."
"352","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Thương mại điện tử năm 2022?","Thông tin cơ bản về Thương mại điện tử năm 2022."
"353","Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị khách sạn và Logistics..."
"354","Đa bậc đào tạo","Chi phí học cao học ngành Luật?","Thông tin bậc đào tạo sau ĐH ngành Luật."
"355","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kế toán năm 2022?","Thông tin cơ bản về Kế toán năm 2022."
"356","Từ lóng viết tắt","Slot vào Nước?","Thông tin chi tiết về Nước."
"357","Tra cứu đơn lẻ","Học phí ngành Kinh tế số năm 2022 là bao nhiêu?","Thông tin cơ bản về Kinh tế số năm 2022."
"358","Ngoài phạm vi","Giá xăng hôm nay tăng hay giảm?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"359","Từ lóng viết tắt","Chỉ tiêu Luật trường lấy bn?","Thông tin chi tiết về Luật."
"360","Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Kỹ thuật điện?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật điện."
"361","Từ lóng viết tắt","Điểm chuẩn AI?","Thông tin chi tiết về AI."
"362","Từ lóng viết tắt","Khối thi vào CK?","Thông tin chi tiết về CK."
"363","Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Kỹ thuật phần mềm năm nay?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm."
"364","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Quản trị khách sạn năm 2024?","Thông tin cơ bản về Quản trị khách sạn năm 2024."
"365","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật máy tính năm 2023 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật máy tính năm 2023."
"366","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh..."
"367","Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Tài chính ngân hàng?","Thông tin bậc đào tạo sau ĐH ngành Tài chính ngân hàng."
"368","Tra cứu đơn lẻ","Điểm chuẩn ngành Quản trị khách sạn năm 2023 là bao nhiêu?","Thông tin cơ bản về Quản trị khách sạn năm 2023."
"369","Từ lóng viết tắt","Em học dốt toán có vào đc KTPM không?","Thông tin chi tiết về KTPM."
"370","Tra cứu đơn lẻ","Học phí ngành Quản trị kinh doanh năm 2024 là bao nhiêu?","Thông tin cơ bản về Quản trị kinh doanh năm 2024."
"371","Từ lóng viết tắt","Điểm chuẩn KTPM?","Thông tin chi tiết về KTPM."
"372","Tra cứu đơn lẻ","Chỉ tiêu ngành Hệ thống thông tin năm 2022 lấy bao nhiêu?","Thông tin cơ bản về Hệ thống thông tin năm 2022."
"373","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Cơ điện tử năm 2022 không?","Thông tin cơ bản về Cơ điện tử năm 2022."
"374","Từ lóng viết tắt","Điểm chuẩn CNTT?","Thông tin chi tiết về CNTT."
"375","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Quản trị kinh doanh năm 2022?","Thông tin cơ bản về Quản trị kinh doanh năm 2022."
"376","Từ lóng viết tắt","review ngành KTS ở TLU?","Thông tin chi tiết về KTS."
"377","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Công nghệ thông tin năm 2022?","Thông tin cơ bản về Công nghệ thông tin năm 2022."
"378","Từ lóng viết tắt","review ngành OTO ở TLU?","Thông tin chi tiết về OTO."
"379","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật điện năm 2023 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật điện năm 2023."
"380","Logic phức hợp","Học bổng của ngành Kế toán yêu cầu GPA bao nhiêu và so với Tài chính ngân hàng có dễ hơn không?","Phân tích giữa Kế toán và Tài chính ngân hàng..."
"381","Từ lóng viết tắt","Điểm chuẩn KHMT?","Thông tin chi tiết về KHMT."
"382","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Khoa học máy tính năm 2023 không?","Thông tin cơ bản về Khoa học máy tính năm 2023."
"383","Ngoài phạm vi","Hướng dẫn chạy quảng cáo Facebook?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"384","Tra cứu đơn lẻ","Điểm chuẩn ngành Ngôn ngữ Anh năm 2022 là bao nhiêu?","Thông tin cơ bản về Ngôn ngữ Anh năm 2022."
"385","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật ô tô năm 2024 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật ô tô năm 2024."
"386","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật cơ khí năm 2022?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022."
"387","Ngoài phạm vi","Ý nghĩa của giấc mơ thấy rắn?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"388","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Logistics năm 2024?","Thông tin cơ bản về Logistics năm 2024."
"389","Tra cứu đơn lẻ","Chỉ tiêu ngành Logistics năm 2022 lấy bao nhiêu?","Thông tin cơ bản về Logistics năm 2022."
"390","Tra cứu đơn lẻ","Chỉ tiêu ngành Kinh tế số năm 2022 lấy bao nhiêu?","Thông tin cơ bản về Kinh tế số năm 2022."
"391","Từ lóng viết tắt","Điểm chuẩn XD?","Thông tin chi tiết về XD."
"392","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Luật năm 2024?","Thông tin cơ bản về Luật năm 2024."
"393","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Thương mại điện tử năm 2023?","Thông tin cơ bản về Thương mại điện tử năm 2023."
"394","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Khoa học máy tính hay Trí tuệ nhân tạo ưu tiên hơn?","Phân tích giữa Khoa học máy tính và Trí tuệ nhân tạo..."
"395","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật máy tính năm 2022 không?","Thông tin cơ bản về Kỹ thuật máy tính năm 2022."
"396","Tra cứu đơn lẻ","Ngành Kỹ thuật cơ khí xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022."
"397","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Tài chính ngân hàng năm 2022?","Thông tin cơ bản về Tài chính ngân hàng năm 2022."
"398","Từ lóng viết tắt","nv1 CK bao nhiêu điểm?","Thông tin chi tiết về CK."
"399","Tra cứu đơn lẻ","Khối thi của ngành Công nghệ thông tin năm 2022 là gì?","Thông tin cơ bản về Công nghệ thông tin năm 2022."
"400","Logic phức hợp","Ngành Kỹ thuật phần mềm và Hệ thống thông tin ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Kỹ thuật phần mềm và Hệ thống thông tin..."
"401","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Công nghệ thông tin năm 2023?","Thông tin cơ bản về Công nghệ thông tin năm 2023."
"402","Từ lóng viết tắt","Slot vào AI?","Thông tin chi tiết về AI."
"403","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Khoa học máy tính năm 2022?","Thông tin cơ bản về Khoa học máy tính năm 2022."
"404","Ngoài phạm vi","Sự nóng lên toàn cầu ảnh hưởng thế nào?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"405","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật điện năm 2024?","Thông tin cơ bản về Kỹ thuật điện năm 2024."
"406","Từ lóng viết tắt","Học HTTT tốn bao nhiêu tiền?","Thông tin chi tiết về HTTT."
"407","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Thương mại điện tử năm 2024?","Thông tin cơ bản về Thương mại điện tử năm 2024."
"408","Logic phức hợp","Ngành Kỹ thuật phần mềm và Hệ thống thông tin ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Kỹ thuật phần mềm và Hệ thống thông tin..."
"409","Đa bậc đào tạo","Thời gian học NCS ngành Thương mại điện tử?","Thông tin bậc đào tạo sau ĐH ngành Thương mại điện tử."
"410","Tra cứu đơn lẻ","Ngành Kỹ thuật điện xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Kỹ thuật điện năm 2024."
"411","Ngoài phạm vi","Nhiệt độ sôi của nước là bao nhiêu?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"412","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Tài chính ngân hàng năm 2023?","Thông tin cơ bản về Tài chính ngân hàng năm 2023."
"413","Logic phức hợp","Học bổng của ngành Logistics yêu cầu GPA bao nhiêu và so với Ngôn ngữ Anh có dễ hơn không?","Phân tích giữa Logistics và Ngôn ngữ Anh..."
"414","Logic phức hợp","Cơ hội việc làm của Thương mại điện tử và Kinh tế số cái nào tốt hơn?","Phân tích giữa Thương mại điện tử và Kinh tế số..."
"415","Từ lóng viết tắt","Chỉ tiêu NNA trường lấy bn?","Thông tin chi tiết về NNA."
"416","Tra cứu đơn lẻ","Khối thi của ngành Kỹ thuật máy tính năm 2023 là gì?","Thông tin cơ bản về Kỹ thuật máy tính năm 2023."
"417","Logic phức hợp","Cơ hội việc làm của Luật và Kỹ thuật cơ khí cái nào tốt hơn?","Phân tích giữa Luật và Kỹ thuật cơ khí..."
"418","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Luật năm 2024?","Thông tin cơ bản về Luật năm 2024."
"419","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Quản trị kinh doanh năm 2023?","Thông tin cơ bản về Quản trị kinh doanh năm 2023."
"420","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Hệ thống thông tin năm 2022?","Thông tin cơ bản về Hệ thống thông tin năm 2022."
"421","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kinh tế số năm 2023?","Thông tin cơ bản về Kinh tế số năm 2023."
"422","Tra cứu đơn lẻ","Khối thi của ngành Kế toán năm 2023 là gì?","Thông tin cơ bản về Kế toán năm 2023."
"423","Logic phức hợp","Ngành Cơ điện tử và Kỹ thuật ô tô ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Cơ điện tử và Kỹ thuật ô tô..."
"424","Từ lóng viết tắt","Điểm chuẩn KTĐ?","Thông tin chi tiết về KTĐ."
"425","Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Cơ điện tử?","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử."
"426","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Logistics năm 2023 không?","Thông tin cơ bản về Logistics năm 2023."
"427","Từ lóng viết tắt","nv1 Log bao nhiêu điểm?","Thông tin chi tiết về Log."
"428","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Tài chính ngân hàng năm 2022?","Thông tin cơ bản về Tài chính ngân hàng năm 2022."
"429","Ngoài phạm vi","Nên mua laptop Dell hay HP?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"430","Tra cứu đơn lẻ","Chỉ tiêu ngành Cơ điện tử năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Cơ điện tử năm 2023."
"431","Ngoài phạm vi","Nên đầu tư chứng khoán hay mua vàng?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"432","Tra cứu đơn lẻ","Ngành Cơ điện tử xét những tổ hợp môn nào trong năm 2023?","Thông tin cơ bản về Cơ điện tử năm 2023."
"433","Logic phức hợp","Học bổng của ngành Hệ thống thông tin yêu cầu GPA bao nhiêu và so với Khoa học máy tính có dễ hơn không?","Phân tích giữa Hệ thống thông tin và Khoa học máy tính..."
"434","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật phần mềm năm 2023 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2023."
"435","Tra cứu đơn lẻ","Chỉ tiêu ngành Quản trị khách sạn năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Quản trị khách sạn năm 2024."
"436","Logic phức hợp","Ngành Kỹ thuật phần mềm và Hệ thống thông tin ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Kỹ thuật phần mềm và Hệ thống thông tin..."
"437","Từ lóng viết tắt","Học CK tốn bao nhiêu tiền?","Thông tin chi tiết về CK."
"438","Từ lóng viết tắt","Học CNTT tốn bao nhiêu tiền?","Thông tin chi tiết về CNTT."
"439","Tra cứu đơn lẻ","Học phí ngành Công nghệ thông tin năm 2024 là bao nhiêu?","Thông tin cơ bản về Công nghệ thông tin năm 2024."
"440","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Cơ điện tử năm 2022?","Thông tin cơ bản về Cơ điện tử năm 2022."
"441","Tra cứu đơn lẻ","Điểm chuẩn ngành Tài chính ngân hàng năm 2022 là bao nhiêu?","Thông tin cơ bản về Tài chính ngân hàng năm 2022."
"442","Từ lóng viết tắt","Ngành KTS học phí ntn?","Thông tin chi tiết về KTS."
"443","Từ lóng viết tắt","Slot vào CNTT?","Thông tin chi tiết về CNTT."
"444","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Kỹ thuật điện hay Kỹ thuật xây dựng ưu tiên hơn?","Phân tích giữa Kỹ thuật điện và Kỹ thuật xây dựng..."
"445","Đa bậc đào tạo","Thời gian học NCS ngành Tài chính ngân hàng?","Thông tin bậc đào tạo sau ĐH ngành Tài chính ngân hàng."
"446","Logic phức hợp","Học bổng của ngành Kỹ thuật ô tô yêu cầu GPA bao nhiêu và so với Kỹ thuật điện có dễ hơn không?","Phân tích giữa Kỹ thuật ô tô và Kỹ thuật điện..."
"447","Từ lóng viết tắt","review ngành KTPM ở TLU?","Thông tin chi tiết về KTPM."
"448","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kinh tế số không, và học phí so với Quản trị khách sạn thế nào?","Phân tích giữa Kinh tế số và Quản trị khách sạn..."
"449","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Tài chính ngân hàng năm 2023?","Thông tin cơ bản về Tài chính ngân hàng năm 2023."
"450","Từ lóng viết tắt","Slot vào KTPM?","Thông tin chi tiết về KTPM."
"451","Đa bậc đào tạo","Học phí thạc sĩ ngành Ngôn ngữ Anh là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh."
"452","Tra cứu đơn lẻ","Học phí ngành Kinh tế số năm 2024 là bao nhiêu?","Thông tin cơ bản về Kinh tế số năm 2024."
"453","Tra cứu đơn lẻ","Khối thi của ngành Kỹ thuật máy tính năm 2024 là gì?","Thông tin cơ bản về Kỹ thuật máy tính năm 2024."
"454","Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Quản trị kinh doanh?","Thông tin bậc đào tạo sau ĐH ngành Quản trị kinh doanh."
"455","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Tài chính ngân hàng hay Thương mại điện tử ưu tiên hơn?","Phân tích giữa Tài chính ngân hàng và Thương mại điện tử..."
"456","Từ lóng viết tắt","Chỉ tiêu QTKD trường lấy bn?","Thông tin chi tiết về QTKD."
"457","Đa bậc đào tạo","Thời gian học NCS ngành Luật?","Thông tin bậc đào tạo sau ĐH ngành Luật."
"458","Từ lóng viết tắt","Học DL tốn bao nhiêu tiền?","Thông tin chi tiết về DL."
"459","Tra cứu đơn lẻ","Ngành Thương mại điện tử xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Thương mại điện tử năm 2024."
"460","Tra cứu đơn lẻ","Học phí ngành Trí tuệ nhân tạo năm 2023 là bao nhiêu?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2023."
"461","Từ lóng viết tắt","Thi khối nào vào QTKD?","Thông tin chi tiết về QTKD."
"462","Ngoài phạm vi","Các biện pháp bảo vệ môi trường?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"463","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật cơ khí năm 2024 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2024."
"464","Tra cứu đơn lẻ","Chỉ tiêu ngành Công nghệ thông tin năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Công nghệ thông tin năm 2023."
"465","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Ngôn ngữ Anh năm 2022?","Thông tin cơ bản về Ngôn ngữ Anh năm 2022."
"466","Đa bậc đào tạo","Thời gian học NCS ngành Kỹ thuật điện?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật điện."
"467","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Logistics năm 2023?","Thông tin cơ bản về Logistics năm 2023."
"468","Tra cứu đơn lẻ","Chỉ tiêu ngành Kỹ thuật máy tính năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Kỹ thuật máy tính năm 2023."
"469","Từ lóng viết tắt","Học KTĐ tốn bao nhiêu tiền?","Thông tin chi tiết về KTĐ."
"470","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Logistics năm 2022?","Thông tin cơ bản về Logistics năm 2022."
"471","Ngoài phạm vi","Ai là tổng thống Mỹ hiện tại?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"472","Từ lóng viết tắt","nv1 TCNH bao nhiêu điểm?","Thông tin chi tiết về TCNH."
"473","Từ lóng viết tắt","Khối thi vào Luật?","Thông tin chi tiết về Luật."
"474","Logic phức hợp","Học bổng của ngành Logistics yêu cầu GPA bao nhiêu và so với Ngôn ngữ Anh có dễ hơn không?","Phân tích giữa Logistics và Ngôn ngữ Anh..."
"475","Ngoài phạm vi","Lịch sử chiến tranh thế giới thứ 2?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"476","Tra cứu đơn lẻ","Chỉ tiêu ngành Luật năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Luật năm 2024."
"477","Đa bậc đào tạo","Chi phí học cao học ngành Kế toán?","Thông tin bậc đào tạo sau ĐH ngành Kế toán."
"478","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Hệ thống thông tin năm 2024?","Thông tin cơ bản về Hệ thống thông tin năm 2024."
"479","Tra cứu đơn lẻ","Ngành Thương mại điện tử xét những tổ hợp môn nào trong năm 2023?","Thông tin cơ bản về Thương mại điện tử năm 2023."
"480","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Cơ điện tử năm 2022?","Thông tin cơ bản về Cơ điện tử năm 2022."
"481","Tra cứu đơn lẻ","Khối thi của ngành Kinh tế số năm 2022 là gì?","Thông tin cơ bản về Kinh tế số năm 2022."
"482","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật điện năm 2022 không?","Thông tin cơ bản về Kỹ thuật điện năm 2022."
"483","Tra cứu đơn lẻ","Điểm chuẩn ngành Cơ điện tử năm 2024 là bao nhiêu?","Thông tin cơ bản về Cơ điện tử năm 2024."
